Size,Time,L1 DCM,L2 DCM,L2 DCA,L2 DCH,DOUBLE PRECISION FLOPS
600,0.192,244772765,40356124,218916897,178560773,432000001
1000,1.137,1221545908,187736969,1102922119,915185150,2000000001
1400,3.428,3423147779,987050179,3101630664,2114580485,5488000001
1800,18.351,9086510396,5155824569,8453672516,3297847947,11664000001
2200,38.927,17626958842,17173509202,16454543114,-718966088,21296000001
2600,71.725,30888444910,49345863158,28748921515,-20596941643,35152000001
3000,120.105,50288043167,96920121589,46699706129,-50220415460,54000000001
