<<<<<<< HEAD
Size,Time,L1 DCM,L2 DCM,L2 DCA,L2 DCH,DOUBLE PRECISION FLOPS
600,0.265,140729904751664,3,68722634806,68722634803,729833492498632960
1000,1.335,140731805916768,4,808464433,808464429,6898453552453604096
1400,3.858,140734561233248,4,808465457,808465453,8312771319559774208
1800,8.180,140732142888032,4,808466481,808466477,6944154206483272704
2200,14.948,140736891618432,4,808464946,808464942,7114713515332596992
2600,24.677,140731099074288,4,808465970,808465966,8262954772157810432
3000,38.052,140728630843984,4,808464435,808464431,-3876921960813989120
=======
Size,Time
600,0.265
1000,1.335
1400,3.858
1800,8.180
2200,14.948
2600,24.677
3000,38.052
>>>>>>> c310b2915f9442c0061f083701c041b20b53c46b
