Size,Time,L1 DCM,L2 DCM,L2 DCA,L2 DCH,DOUBLE PRECISION FLOPS
600,0.268,140727910530752,3,68722634806,68722634803,-863960180525510912
1000,2.320,140722792518608,4,808464433,808464429,-4048636504400549888
1400,5.790,140734655136176,4,808465457,808465453,513260631029508864
1800,27.955,140726011029744,4,808466481,808466477,-8580116687021735936
2200,60.424,140728362113040,4,808464946,808464942,4432065788034064128
2600,108.102,140721414277920,4,808465970,808465966,-2979378362683579904
3000,180.417,140727104075280,4,808464435,808464431,-4692477524528606976
